AŃO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ANUAL
1991;105.4;32.4;60;14;19;21.5;0;7.9;12.7;6.8;47.1;50.4;377.2
1992;106.8;44.7;23.3;16.5;0;10;****;****;****;39.6;48.6;37.3;****
1993;199.2;17.6;42.5;28.1;4.2;****;1.2;32.2;25.9;52;37;59.2;****
1994;62.8;53.9;37.4;64.5;9.5;15.5;1.3;2.3;25;38.3;44.6;66.7;421.8
1995;87.5;66.6;99;20.6;3.8;0;5.2;15.6;0.8;14.4;52;176.9;542.4
1996;187.5;23.5;29.4;****;0;0;0;****;****;****;****;****;****
1997;****;****;****;****;****;****;****;****;****;****;****;****;****
1998;99.3;45.5;93;32.5;0;16.6;0;8.6;0;37.6;****;23.2;****
1999;****;****;****;****;****;****;****;****;****;****;****;****;****
2000;****;****;****;****;****;****;****;21.8;0.5;59.8;9.1;102.6;****
2001;166.5;93.5;66;29.7;18.5;5.2;9.6;31;14.8;61;13.1;87.6;596.5
2002;79.6;104;109.4;29.7;13.6;9.7;37.5;9.2;37;95.2;37.5;70.9;633.3
2003;137;123.6;85.6;16.6;5.8;0.6;2.3;7.6;27.6;28.9;23.2;100.1;558.9
2004;211.8;69.4;49.6;8.7;6;5.3;15.3;13.3;26.2;18.3;77.9;68.5;570.3
2005;109.5;59.9;29.6;22.3;0;0;1;0;46.5;76.4;76.2;52.8;474.2
2006;173.6;89.6;69.7;18;2;0;0;17;13.2;34.1;77.3;122;616.5
2007;123.9;98.4;93.7;61.8;12.2;0;28;0.1;43.4;21.1;38.7;140.1;661.4
2008;211.5;66.4;37.7;3.4;12.6;9.8;5.7;4.5;10.6;35;20.8;118.2;536.2
2009;88.2;115.3;37.6;20.5;3.6;0;9.9;3.6;27.2;36.8;60.8;110.4;513.9
2010;194.2;190.6;66.6;21.4;58;0;19.6;4.8;5.1;39.6;4.3;53.5;657.7
2011;51.1;128.9;55.7;0.3;10.5;0;12.8;0;24.3;35;13.4;81.7;413.7
2012;83.5;132.5;50.9;43.6;1.7;18.1;5.7;1.2;1;24.6;66.6;80.6;510
2013;88.3;117.8;55.4;4.7;53.4;37.1;9.6;12.4;1.5;13.7;****;****;****
2014;****;****;48.6;10.2;26.1;0;2.5;7.9;38.1;22.5;7.7;70.3;****
2015;128.3;93.3;94.6;47.4;4.9;0;12;14.4;26.3;45.3;45.7;50.4;562.6
2016;63.9;153.5;4.6;20.6;0;4.7;1.4;14.1;12.6;60.5;15.9;70.9;422.7
2017;106.4;47.9;136;45;52.5;0.5;0.8;0;38.3;44.4;9;54.7;535.5
2018;106.9;151.5;74.6;6.6;4.3;50.8;12.3;25.5;3;66.8;21.8;97.3;621.4
2019;82.4;84;30.2;50.3;21.1;0.7;15.8;0;36.7;72.7;77.2;80.4;551.5
2020;64.3;181.5;49.5;32.8;3;0;0;5.4;29.1;22.9;****;****;****
